 ,Area,Mean,Perim.,IntDen,RawIntDen
1,9083,29.616,456.776,268998,268998
2,10135,44.506,514.020,451065,451065
3,9444,41.849,411.810,395225,395225
4,8628,53.366,716.954,460442,460442
5,8266,54.217,496.953,448161,448161
6,10041,38.910,577.520,390697,390697
7,5290,27.226,355.739,144026,144026
8,5209,49.140,349.921,255971,255971
9,14686,41.325,584.659,606893,606893
10,11514,24.923,450.484,286963,286963
11,6087,44.646,354.061,271759,271759
12,7965,17.816,380.557,141905,141905
13,7055,29.779,396.859,210092,210092
14,6498,41.829,403.200,271805,271805
15,3283,47.757,294.345,156787,156787
16,3225,41.322,285.691,133264,133264
17,4071,40.887,328.580,166453,166453
18,4500,41.273,347.062,185728,185728
19,6706,30.526,404.278,204710,204710
20,7030,37.036,424.220,260365,260365
21,3097,35.447,257.243,109780,109780
22,3124,48.548,265.143,151663,151663
23,8038,22.625,407.419,181856,181856
24,8468,30.925,443.535,261869,261869
25,7869,44.427,455.772,349599,349599
26,11663,27.256,483.538,317889,317889
27,6060,30.267,372.114,183415,183415
28,6482,50.504,406.312,327368,327368
29,7525,51.438,453.167,387069,387069
30,7250,64.741,488.095,469372,469372
31,7767,58.582,573.897,455003,455003
32,7892,66.490,553.198,524737,524737
33,5199,60.118,449.467,312555,312555
34,7241,52.351,496.629,379075,379075
